time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate
48,9818,138.47,475136,116,584.44,5729.680776977539,1.1920928955078125e-07,1150,3.1439413e-07,2652.498046875,0.2,-2.0205248802085407e-05,-1.608272046223283,0.0,1e-05
48,9904,139.41,479232,117,583.2,5953.1541305542,5.960464477539063e-08,1160,1.0186341e-07,3256.975830078125,0.2,-6.22670486336574e-06,-1.6082516811788081,0.0,1e-05
48,9990,135.74,483328,118,565.72,5664.447041320801,1.1920928955078125e-07,1170,2.598972e-07,3204.91796875,0.2,-1.767230551195098e-05,-1.608225154876709,0.0,1e-05
48,10077,136.2,487424,119,572.77,5797.259741210937,0.0,1180,3.5011908e-08,2742.235595703125,0.2,-2.1168118109926583e-06,-1.6082026287913322,0.0,1e-05
48,10164,137.32,491520,120,580.71,6159.8300506591795,0.0,1190,3.446621e-07,2791.391357421875,0.2,-2.3025989867164755e-05,-1.6081785306334495,0.0,1e-05
48,10249,137.15,495616,121,590.85,5915.744792175293,0.0,1200,1.0493386e-07,2758.664794921875,0.2,-7.12619221303612e-06,-1.6081513177603484,0.0,1e-05
48,10336,140.95,499712,122,598.91,6100.513768005371,0.0,1210,2.3563916e-07,2742.090087890625,0.2,-1.5642317885067313e-05,-1.608129670098424,0.0,1e-05
48,10425,138.59,503808,123,592.82,5513.061798095703,0.0,1220,1.3997487e-07,2298.99169921875,0.2,-9.016367039293982e-06,-1.6081066999584437,0.0,1e-05
48,10512,141.78,507904,124,604.61,6418.994198608399,0.0,1230,2.546003e-07,2734.438720703125,0.2,-1.7377352560288272e-05,-1.6080865379422904,0.0,1e-05
48,10597,137.6,512000,125,595.76,5865.535125732422,0.0,1240,1.3032695e-07,2656.3896484375,0.2,-8.164523023879156e-06,-1.6080652959644794,0.0,1e-05
48,10682,140.49,516096,126,597.76,5859.6184753417965,0.0,1250,2.940651e-07,2963.44482421875,0.2,-1.8847106184693983e-05,-1.6080371350049973,0.0,1e-05
48,10767,140.26,520192,127,592.32,5838.2225936889645,1.1920928955078125e-07,1260,1.7885759e-07,2736.532470703125,0.2,-1.0474742884980514e-05,-1.608001421391964,0.0,1e-05
48,10851,140.31,524288,128,583.68,5884.12138671875,5.960464477539063e-08,1270,9.829819e-08,2748.63330078125,0.2,-5.8415324019733815e-06,-1.607979941740632,0.0,1e-05
48,10936,144.83,528384,129,598.9,5449.325941467285,0.0,1280,1.5285332e-07,3006.8173828125,0.2,-8.556808097637258e-06,-1.6079689316451549,0.0,1e-05
48,11021,142.42,532480,130,591.87,5838.547689819336,0.0,1290,1.5126716e-07,2732.236572265625,0.2,-8.877179061528295e-06,-1.6079609762877225,0.0,1e-05
48,11106,141.62,536576,131,584.6,5750.046287536621,0.0,1300,4.3713953e-07,2917.029296875,0.2,-2.5789580104174092e-05,-1.6079553000628948,0.0,1e-05
48,11191,141.31,540672,132,589.03,5669.029270935059,5.960464477539063e-08,1310,1.5663682e-07,3028.57666015625,0.2,-9.109630627790467e-06,-1.6079486835747958,0.0,1e-05
48,11275,139.14,544768,133,578.1,5718.6530136108395,5.960464477539063e-08,1320,1.7127604e-08,2974.081787109375,0.2,-2.3421613150276245e-06,-1.6079431254416705,0.0,1e-05
48,11359,137.85,548864,134,578.35,5645.300495910645,0.0,1330,2.3885514e-07,3071.35546875,0.2,-1.4865775301586837e-05,-1.6079334542155266,0.0,1e-05
48,11444,138.4,552960,135,589.41,5915.739584350586,5.960464477539063e-08,1340,5.456968e-09,2951.55810546875,0.2,-1.1593801900744438e-07,-1.607926255464554,0.0,1e-05
48,11528,135.83,557056,136,598.22,6305.786985778808,0.0,1350,2.196175e-07,3121.157958984375,0.2,-1.5744993288535624e-05,-1.607914024963975,0.0,1e-05
48,11614,139.04,561152,137,613.76,6376.86707611084,0.0,1360,1.2597593e-07,3750.52587890625,0.2,-8.173055903171189e-06,-1.6078930124640465,0.0,1e-05
48,11698,143.98,565248,138,620.01,5730.749569702149,0.0,1370,3.205787e-08,2666.9443359375,0.2,-2.748543192865327e-06,-1.607878440991044,0.0,1e-05
48,11783,141.46,569344,139,598.76,5747.307518005371,0.0,1380,2.3101165e-07,2997.40673828125,0.2,-1.4233548427000642e-05,-1.6078545290976762,0.0,1e-05
28,20122,139.47,573440,140,597.22,6139.183279418945,1.1920928955078125e-07,1390,5.689799e-08,3196.11865234375,0.2,-2.6998925022780897e-06,-1.6078317072242498,0.0,1e-05
28,20217,140.35,577536,141,594.34,5922.989611816406,5.960464477539063e-08,1400,5.7465513e-08,3021.07861328125,0.2,-3.44746295013465e-06,-1.6078186247497797,0.0,1e-05
28,20311,137.27,581632,142,589.0,5713.299911499023,5.960464477539063e-08,1410,1.6877311e-07,3182.132080078125,0.2,-1.1221002205275e-05,-1.6077955227345229,0.0,1e-05
28,20407,141.09,585728,143,603.01,6160.533004760742,5.960464477539063e-08,1420,2.7437636e-07,2916.99755859375,0.2,-1.924235330079682e-05,-1.6077612940222026,0.0,1e-05
28,20499,139.36,589824,144,597.54,5612.778248596192,5.960464477539063e-08,1430,4.717731e-08,2906.346435546875,0.2,-2.2936212189961226e-06,-1.607739244028926,0.0,1e-05
28,20591,141.62,593920,145,613.11,5744.095059204102,0.0,1440,1.0742224e-07,2976.22314453125,0.2,-6.105288048274815e-06,-1.6077326156198979,0.0,1e-05
28,20685,144.21,598016,146,621.16,6586.316682434082,1.1920928955078125e-07,1450,2.7047645e-07,2981.42822265625,0.2,-1.7989040861721152e-05,-1.607723480090499,0.0,1e-05
28,20779,140.7,602112,147,616.6,5992.6831726074215,0.0,1460,1.2491364e-07,2832.8017578125,0.2,-7.692633516853675e-06,-1.607716267928481,0.0,1e-05
29,20868,139.57,606208,148,594.17,5947.370024108886,5.960464477539063e-08,1470,7.338531e-08,2830.629150390625,0.2,-4.982971586287022e-06,-1.6076999299228192,0.0,1e-05
29,20953,139.09,610304,149,594.64,5767.445350646973,1.1920928955078125e-07,1480,1.3200042e-07,2824.1142578125,0.2,-8.563709707232192e-06,-1.6076821267604828,0.0,1e-05
