time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
54,1814,48,98304,0.0,0.0,470,0.8441014407202602,-2.4995930289151148e-06,0.38964542746543884,1e-06,0.2,-1.6094378344714642,0.0,12983.833333333334,691.1666666666666
54,1850,49,100352,0.0,-1.1920928955078125e-07,480,0.7890027392655611,-7.496826583519578e-07,0.3924029469490051,1e-06,0.2,-1.6094378516077996,0.0,12983.833333333334,691.1666666666666
54,1886,50,102400,0.0,-1.1920928955078125e-07,490,0.7820496143773198,-1.2988137314096094e-06,0.36445891857147217,1e-06,0.2,-1.6094378352165222,0.0,14566.42857142857,646.4285714285714
54,1922,51,104448,0.0,0.0,500,154.028110909462,-3.3149553928524257e-07,46.06702423095703,1e-06,0.2,-1.6094378396868705,0.0,14566.42857142857,646.4285714285714
54,1959,52,106496,0.0,-1.1920928955078125e-07,510,0.785354214720428,-4.179113602731377e-07,0.387495756149292,1e-06,0.2,-1.609437833353877,0.0,14566.42857142857,646.4285714285714
54,1995,53,108544,0.0,-1.1920928955078125e-07,520,0.7815001826733351,-4.773413820657879e-07,0.44710206985473633,1e-06,0.2,-1.6094378419220448,0.0,14566.42857142857,646.4285714285714
54,2032,54,110592,0.0,0.0,530,0.7871591798961163,-3.770823241211474e-07,0.39948076009750366,1e-06,0.2,-1.6094378419220448,0.0,14566.42857142857,646.4285714285714
54,2069,55,112640,0.0,0.0,540,200.60015819072723,-6.042100721970201e-08,86.8172836303711,1e-06,0.2,-1.6094378400593996,0.0,14566.42857142857,646.4285714285714
54,2106,56,114688,0.0,0.0,550,0.9172910835593939,-2.9531496693380176e-06,0.44106215238571167,1e-06,0.2,-1.6094378303736447,0.0,14566.42857142857,646.4285714285714
54,2143,57,116736,0.0,0.0,560,0.9220622859895229,-5.3340772865340116e-08,0.4566735327243805,1e-06,0.2,-1.6094378169625998,0.0,14566.42857142857,646.4285714285714
54,2180,58,118784,0.0,-2.384185791015625e-07,570,0.8220089588314294,-7.542257662862539e-08,0.4938647747039795,1e-06,0.2,-1.60943782068789,0.0,14768.0,625.0
54,2216,59,120832,0.0,-1.1920928955078125e-07,580,160.79524624943733,-1.8039572751149536e-07,70.9510269165039,1e-06,0.2,-1.6094378307461739,0.0,14768.0,625.0
54,2252,60,122880,0.0,-2.384185791015625e-07,590,0.7816226806491613,-6.85357372276485e-07,0.4689021110534668,1e-06,0.2,-1.6094378244131804,0.0,14768.0,625.0
54,2289,61,124928,0.0,-1.1920928955078125e-07,600,0.7801393333822488,-7.560658559668809e-07,0.3915994465351105,1e-06,0.2,-1.6094378240406513,0.0,14768.0,625.0
54,2328,62,126976,0.0,0.0,610,0.7878667045384645,-8.506140147801489e-07,0.387139230966568,1e-06,0.2,-1.6094378106296063,0.0,14768.0,625.0
54,2365,63,129024,0.0,0.0,620,121.4444598197937,-9.741634130477905e-08,52.78096389770508,1e-06,0.2,-1.609437805786729,0.0,14768.0,625.0
54,2401,64,131072,0.0,0.0,630,0.9246872182935476,-1.1956777598243208e-06,0.48372265696525574,1e-06,0.2,-1.609437818080187,0.0,14768.0,625.0
54,2438,65,133120,0.0,-1.1920928955078125e-07,640,0.912211405672133,-7.536407792940736e-07,0.4262120723724365,1e-06,0.2,-1.6094378270208836,0.0,14768.0,625.0
54,2474,66,135168,0.0,1.7881393432617188e-07,650,22.361691071093084,-1.0082789231091737e-06,7.546211242675781,1e-06,0.2,-1.6094378087669612,0.0,14768.0,625.0
54,2510,67,137216,0.0,0.0,660,144.92234060168266,-1.7347047105431556e-07,95.8084487915039,1e-06,0.2,-1.6094377990812063,0.0,14768.0,625.0
54,2547,68,139264,0.0,1.7881393432617188e-07,670,0.7811414025723934,-1.9409999367780983e-06,0.4195704460144043,1e-06,0.2,-1.6094378173351287,0.0,14768.0,625.0
54,2582,69,141312,0.0,1.7881393432617188e-07,680,0.7792766135185957,-1.8045757315121591e-06,0.41606852412223816,1e-06,0.2,-1.6094378113746644,0.0,14768.0,625.0
54,2619,70,143360,0.0,-1.1920928955078125e-07,690,0.7822368176653981,-9.63530328590423e-07,0.4109789729118347,1e-06,0.2,-1.6094378087669612,0.0,15800.666666666666,614.4444444444445
54,2660,71,145408,0.0,0.0,700,166.85534142255784,-2.1527375793084502e-07,115.42803192138672,1e-06,0.2,-1.60943780913949,0.0,15800.666666666666,614.4444444444445
54,2698,72,147456,0.0,-1.1920928955078125e-07,710,0.7851644044741988,-1.1737589375115932e-06,0.35904940962791443,1e-06,0.2,-1.6094377998262643,0.0,15800.666666666666,614.4444444444445
