rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/policy_gradient_loss
123.25,1161.63,31,2088,65536,16,1.6824924e-07,0.2,1e-05,-1.5426171265542508,21647.986462402343,10294.228515625,5640,0.0,0.0,-1.1835274926852435e-05
126.68,1155.69,31,2227,69632,17,1.4762918e-07,0.2,1e-05,-1.542433326691389,22982.53780517578,10506.173828125,5650,0.0,0.0,-9.33654882828705e-06
124.41,1156.01,31,2359,73728,18,2.2194581e-07,0.2,1e-05,-1.542232758551836,22034.439739990234,11229.974609375,5660,0.0,1.1920928955078125e-07,-1.735970945446752e-05
128.47,1161.0,31,2497,77824,19,3.4255208e-07,0.2,1e-05,-1.5419924851506948,23128.004235839842,11757.9033203125,5670,0.0,0.0,-2.200731323682703e-05
125.27,1147.66,31,2632,81920,20,8.745701e-08,0.2,1e-05,-1.5417865503579378,19157.587548828124,11166.638671875,5680,0.0,2.384185791015625e-07,-8.007843644008971e-06
129.66,1172.07,31,2771,86016,21,1.4218676e-07,0.2,1e-05,-1.5416212078183889,23122.411572265624,12105.84375,5690,0.0,5.960464477539063e-08,-1.301523661823012e-05
126.12,1173.66,30,2919,90112,22,1.2062083e-07,0.2,1e-05,-1.5414421066641808,22229.839874267578,11579.94921875,5700,0.0,0.0,-9.626503015169874e-06
130.44,1209.42,30,3084,94208,23,1.0317308e-07,0.2,1e-05,-1.5413096822798251,22955.335198974608,12981.638671875,5710,0.0,0.0,-7.155325874919072e-06
129.01,1199.0,30,3235,98304,24,1.6842387e-07,0.2,1e-05,-1.541200765222311,22880.91832885742,12737.361328125,5720,0.0,0.0,-1.176859950646758e-05
134.58,1237.87,30,3385,102400,25,1.2789678e-07,0.2,1e-05,-1.541079706326127,22984.72232055664,11369.6162109375,5730,0.0,1.1920928955078125e-07,-9.475517435930669e-06
132.1,1213.93,30,3537,106496,26,1.7149432e-07,0.2,1e-05,-1.5409463360905646,20729.76319580078,10210.771484375,5740,0.0,0.0,-1.0131439921678975e-05
130.97,1199.74,29,3687,110592,27,5.574984e-07,0.2,1e-05,-1.540745835751295,22255.220916748047,10784.8798828125,5750,0.0,1.1920928955078125e-07,-4.15573529608082e-05
127.61,1166.14,29,3847,114688,28,2.5244663e-07,0.2,1e-05,-1.5405097223818303,21880.2838684082,11315.390625,5760,0.0,0.0,-1.9269759650342167e-05
125.29,1169.5,29,3997,118784,29,3.46874e-07,0.2,1e-05,-1.5402676802128554,22336.107684326173,10312.73046875,5770,0.0,0.0,-2.3518824309576303e-05
128.11,1214.34,29,4150,122880,30,6.821938e-08,0.2,1e-05,-1.540070053935051,23584.727307128906,11747.658203125,5780,0.0,0.0,-7.2330720286117865e-06
130.31,1223.74,29,4324,126976,31,5.225738e-07,0.2,1e-05,-1.5398529663681984,24047.506396484376,13054.873046875,5790,0.0,0.0,-3.840501267404761e-05
129.98,1234.17,29,4474,131072,32,3.3531978e-07,0.2,1e-05,-1.5395424362272023,21504.250909423827,10958.32421875,5800,0.0,0.0,-2.7241580210102256e-05
127.51,1202.63,29,4632,135168,33,2.5199552e-07,0.2,1e-05,-1.539377187937498,24151.906268310548,11845.005859375,5810,0.0,0.0,-1.682484507909976e-05
123.94,1197.42,29,4779,139264,34,2.450397e-07,0.2,1e-05,-1.53927360214293,24260.24006958008,11274.95703125,5820,0.0,0.0,-1.5232434816425666e-05
125.07,1183.33,29,4924,143360,35,3.0445517e-07,0.2,1e-05,-1.5390793021768332,23870.764575195313,11941.2802734375,5830,0.0,1.1920928955078125e-07,-2.120696517522447e-05
127.48,1197.03,29,5075,147456,36,2.450397e-07,0.2,1e-05,-1.5388638943433761,21452.34228515625,12322.9697265625,5840,0.0,0.0,-1.7553744692122562e-05
129.75,1209.05,29,5221,151552,37,1.8946594e-07,0.2,1e-05,-1.538663625717163,22851.450646972655,11904.8623046875,5850,0.0,0.0,-1.4031099999556318e-05
134.83,1285.83,28,5377,155648,38,2.992747e-07,0.2,1e-05,-1.538472793996334,23945.199725341798,10792.287109375,5860,0.0,0.0,-1.8630813428899273e-05
133.82,1286.83,28,5527,159744,39,1.4273974e-07,0.2,1e-05,-1.5383286029100418,24564.6809753418,11841.2080078125,5870,0.0,0.0,-1.0328686039429158e-05
130.21,1233.35,28,5679,163840,40,1.3865065e-07,0.2,1e-05,-1.5382232718169688,22981.40314331055,12007.46875,5880,0.0,0.0,-9.655041867517867e-06
126.86,1199.29,28,5818,167936,41,2.3495522e-07,0.2,1e-05,-1.5380621109157802,22672.799200439455,9511.4853515625,5890,0.0,0.0,-1.35062713525258e-05
124.26,1153.71,28,5958,172032,42,1.9665458e-07,0.2,1e-05,-1.5379038155078888,22809.24510498047,11065.6748046875,5900,0.0,1.1920928955078125e-07,-1.2747639266308397e-05
126.51,1168.1,28,6107,176128,43,9.051291e-08,0.2,1e-05,-1.5377583920955658,21807.226721191408,11544.33203125,5910,0.0,1.1920928955078125e-07,-5.631017120322212e-06
128.55,1174.83,28,6253,180224,44,5.2950054e-07,0.2,1e-05,-1.5375522807240487,21755.17510986328,11101.2861328125,5920,0.0,0.0,-3.764828434213996e-05
133.3,1209.6,28,6419,184320,45,1.2460805e-07,0.2,1e-05,-1.5373541634529828,23261.328643798828,11875.3671875,5930,0.0,0.0,-8.84354449226521e-06
135.78,1248.92,28,6562,188416,46,2.0429434e-07,0.2,1e-05,-1.5372041929513216,20971.44776611328,10574.78125,5940,0.0,0.0,-1.3768892677035182e-05
131.43,1210.9,28,6707,192512,47,9.3659037e-07,0.2,1e-05,-1.5368774957954883,22657.339697265626,11609.9599609375,5950,0.0,0.0,-6.416358446585946e-05
130.5,1197.15,28,6849,196608,48,3.243913e-07,0.2,1e-05,-1.536513914912939,23014.704180908204,10666.5478515625,5960,0.0,0.0,-2.529464691178873e-05
126.1,1155.51,28,6989,200704,49,5.507318e-07,0.2,1e-05,-1.5361832935363053,21308.397760009764,9882.408203125,5970,0.0,0.0,-4.8015124775702134e-05
128.32,1142.29,28,7145,204800,50,4.233152e-08,0.2,1e-05,-1.5359640013426543,22108.159521484376,10946.232421875,5980,0.0,0.0,-4.2010608012788e-06
